City,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
"State College, PA",-2,-2,2,8,14,19,21,20,16,10,4,-1
"Miami, FL",20,20,22,23,26,27,28,28,27,26,23,20
"St. Louis, MO",-1,1,6,13,18,23,26,25,21,15,7,1
"New Orleans, LA",11,13,16,20,23,27,27,27,26,21,16,12
"Madison, WI",-8,-5,0,7,14,19,22,20,16,10,2,-5
"Houston, TX",10,12,16,20,23,27,28,28,26,21,16,12
"Phoenix, AZ",12,14,16,21,26,31,33,32,30,23,16,12
"Seattle, WA",5,6,7,10,13,16,18,18,16,12,8,6
"San Francisco, CA",10,12,12,13,14,15,15,16,17,16,14,11
"San Diego, CA",13,14,15,16,17,19,21,22,21,19,16,14
