ID,LOCUS_OF_CONTROL,SELF_CONCEPT,MOTIVATION,READ,WRITE,MATH,SCIENCE,FEMALE
1,0.2899999917,0.8799999952,0.6700000167,33.599998474,43.700000763,40.200000763,39,1
2,-0.419999987,0.0299999993,0.3300000131,46.900001526,35.900001526,41.900001526,36.299999237,0
3,0.7099999785,0.0299999993,0.6700000167,41.599998474,59.299999237,41.900001526,44.400001526,1
4,0.0599999987,0.0299999993,0,38.900001526,41.099998474,32.700000763,41.700000763,1
5,0.2199999988,-0.280000001,0,36.299999237,48.900001526,39.5,41.700000763,1
6,0.4600000083,0.0299999993,0,49.5,46.299999237,46.200000763,41.700000763,0
7,0.4399999976,-0.469999999,0.3300000131,62.700000763,64.5,48,63.400001526,0
8,0.6800000072,0.25,1,44.200000763,51.5,36.900001526,49.799999237,1
9,0.0599999987,0.5600000024,0.3300000131,46.900001526,41.099998474,45.299999237,47.099998474,0
10,0.0500000007,0.150000006,1,44.200000763,49.5,40.5,39,1
11,0.25,0.3400000036,1,49.5,61.900001526,42.900001526,41.700000763,1
12,0.0599999987,-0.589999974,0,44.200000763,41.099998474,59.799999237,44.400001526,0
13,-1.100000024,0.0299999993,0,46.900001526,40.400001526,42.799999237,45,0
14,0.5199999809,-0.589999974,0.6700000167,41.599998474,59.299999237,38.599998474,36.299999237,1
15,-1.279999971,1.1900000572,1,41.599998474,41.099998474,45.900001526,44.400001526,0
16,0.0599999987,0.0299999993,1,46.900001526,41.099998474,46.200000763,39.599998474,1
17,0.2599999905,0.0299999993,1,60.099998474,64.5,55.700000763,63.400001526,1
18,0.2099999934,0.9399999976,0,38.900001526,48.900001526,41.799999237,58.5,0
19,0.0599999987,0.0299999993,1,57.400001526,54.099998474,58.900001526,47.099998474,0
20,0.2800000012,0.0299999993,1,73.300003052,64.5,68,63.400001526,0
21,-0.439999998,-0.839999974,0.3300000131,46.900001526,46.299999237,45.900001526,37.900001526,0
22,-0.430000007,0.1299999952,0.3300000131,38.900001526,44.299999237,51.599998474,43.900001526,1
23,-0.219999999,0.3199999928,0.3300000131,35.200000763,38.5,39.900001526,34.700000763,1
24,0.7300000191,-1.419999957,0.3300000131,38.900001526,41.099998474,41,36.299999237,1
25,0.2599999905,0.0299999993,0.3300000131,48.400001526,48.900001526,52.200000763,43.900001526,0
26,1.1200000048,-0.74000001,0.6700000167,31,41.099998474,36,36.900001526,1
27,0.4600000083,0.5899999738,1,52.099998474,62.5,53.599998474,56.299999237,1
28,-0.600000024,-0.469999999,0.6700000167,46.900001526,54.099998474,49,52.599998474,1
29,-0.899999976,0.0299999993,0.6700000167,36.299999237,44.299999237,36.099998474,33.599998474,1
30,0.3100000024,1.1900000572,1,46.900001526,44.299999237,41.900001526,39,1
31,-0.209999993,-1.379999995,0,34.200000763,46.299999237,44.5,39,0
32,0.6899999976,0.3400000036,1,52.099998474,56.700000763,53.400001526,60.700000763,1
33,-0.189999998,-1.669999957,0,42.099998474,39.799999237,42.200000763,38.5,1
34,-1.779999971,0.5600000024,0.3300000131,37.299999237,43.700000763,45.400001526,39,0
35,0.3000000119,0.5600000024,1,44.200000763,33.299999237,37.700000763,30.899999619,0
36,1.3600000143,0.4399999976,0.6700000167,70.699996948,58,65.400001526,63.400001526,0
37,-1.049999952,-1.649999976,0,46.900001526,46.299999237,38.599998474,47.099998474,1
38,0.2899999917,0.3899999857,0.3300000131,41.599998474,33.299999237,37.599998474,28.200000763,0
39,-0.829999983,0.1299999952,1,41.599998474,35.900001526,36.700000763,36.299999237,0
40,0.2099999934,-0.280000001,0.6700000167,46.900001526,41.099998474,53.599998474,41.700000763,0
41,-0.029999999,0.6299999952,0.6700000167,52.099998474,54.099998474,48.200000763,55.299999237,0
42,0.0299999993,0.2800000012,0.3300000131,52.099998474,54.099998474,52,55.299999237,0
43,-0.829999983,1.1900000572,0.6700000167,38.900001526,38.5,44.400001526,26,0
44,0.2199999988,-0.75999999,1,31,41.099998474,49.200000763,33.599998474,1
45,1.1599999666,0.3199999928,1,60.099998474,54.099998474,48.599998474,58,0
46,-0.219999999,-1.340000033,0.6700000167,46.900001526,31.299999237,43.599998474,36.299999237,0
47,-0.180000007,0.150000006,0,38.900001526,28.100000381,36,36.299999237,0
48,0.0199999996,0.0299999993,0.3300000131,41.599998474,35.900001526,37.700000763,41.700000763,1
49,-1.059999943,0.0299999993,0.6700000167,46.900001526,56.700000763,48,44.400001526,1
50,-1.330000043,0.0299999993,1,41.599998474,48.900001526,33.700000763,44.400001526,0
51,-1.549999952,0.0299999993,0,36.299999237,41.099998474,43.5,33.599998474,0
52,-1.580000043,0.5600000024,0.6700000167,49.5,33.299999237,48.700000763,44.400001526,0
53,0.4699999988,-0.090000004,0.3300000131,33.599998474,33.900001526,38.799999237,39.599998474,1
54,0.4600000083,0.0299999993,0.6700000167,54.799999237,54.700000763,56.900001526,58,0
55,-1.779999971,0.5600000024,1,28.299999237,46.299999237,42.799999237,44.400001526,1
56,-0.839999974,-1.090000033,0.3300000131,41.599998474,41.700000763,45.099998474,36.299999237,0
57,-0.889999986,-0.180000007,0.6700000167,44.200000763,43.700000763,44.5,41.700000763,1
58,-0.680000007,-0.25999999,0,60.099998474,51.5,56.799999237,60.700000763,0
59,-0.600000024,0.3199999928,1,38.900001526,56.700000763,41.200000763,33.599998474,1
60,-0.589999974,1.1900000572,0.6700000167,36.299999237,36.5,35.099998474,33.599998474,0
61,-0.039999999,0.6499999762,1,44.200000763,44.299999237,61.099998474,49.799999237,0
62,0.5199999809,-0.280000001,0.6700000167,38.900001526,41.700000763,33.700000763,30.899999619,1
63,-0.340000004,0.5899999738,1,38.900001526,33.900001526,35.099998474,44.400001526,1
64,-0.439999998,0.0299999993,0.3300000131,41.599998474,38.5,38.700000763,56.299999237,0
65,-0.209999993,0.0299999993,1,41.599998474,43.700000763,51.099998474,49.799999237,0
66,0.3199999928,-1.169999957,0.3300000131,52.099998474,54.099998474,58.099998474,47.099998474,1
67,-0.709999979,-2.289999962,0.3300000131,65.400001526,64.5,63.700000763,58,1
68,0.4499999881,0.0299999993,0.6700000167,41.599998474,25.5,44.299999237,36.299999237,0
69,0.7099999785,0.0299999993,1,46.900001526,61.900001526,46.200000763,60.700000763,0
70,0.0599999987,0.4399999976,0.6700000167,52.099998474,61.900001526,66.300003052,47.099998474,0
71,0.0599999987,0.2800000012,1,44.200000763,54.099998474,47.099998474,58,1
72,0.9100000262,0.3400000036,1,52.099998474,54.099998474,58.099998474,55.799999237,0
73,-1.090000033,0.0299999993,0.3300000131,46.900001526,43.700000763,41.900001526,41.700000763,1
74,0.0199999996,0.0299999993,0.6700000167,65.400001526,56.700000763,62.299999237,58.5,1
75,-1.049999952,0.2800000012,0.6700000167,62.700000763,64.5,66.300003052,58,0
76,0.1099999994,-1.419999957,1,60.099998474,59.299999237,62.099998474,60.700000763,1
77,0.8899999857,0.3199999928,0.6700000167,46.900001526,44.299999237,48.700000763,53.099998474,0
78,-0.449999988,-0.639999986,0.3300000131,65.400001526,56.700000763,55.200000763,52.599998474,0
79,0.4600000083,-0.300000012,1,53.200000763,60.599998474,61.200000763,56.900001526,0
80,0.4600000083,-1.169999957,0,68,62.5,65.400001526,60.700000763,1
81,0.2800000012,0.9399999976,1,54.799999237,56,43.5,49.799999237,1
82,0.0599999987,0.8999999762,0.6700000167,38.900001526,52.799999237,54.400001526,49.799999237,1
